clean_name,clean_price,clean_rating,processor_brand,processor_core,generation,clean_ram,clean_os,clean_display,touchscreen,clean_ssd,clean_hdd,clean_warranty
MSI,62990,4.3,Intel,Intel Core i7,10,8,Windows 10 ,15.6,0,256,1024,2
MSI,480990,4.2,Intel,Intel Core i9,13,64,Windows 11 ,17.3,0,2,0,2
Lenovo,86500,4.2,Intel,Intel Core i7,11,16,Windows 11 ,15.6,0,512,0,1
Vaio,52990,3.7,AMD,Ryzen 7,0,8,Windows 10 ,15.6,0,512,0,2
MSI,348990,4.2,Intel,Intel Core i9,13,32,Windows 11 ,17.0,0,2,0,2
MSI,109990,4.2,Intel,Intel Core i7,13,16,Windows 11 ,14.0,0,1024,0,2
DELL,39490,4.0,Intel,Intel Core i3,11,8,Windows 10 ,15.6,0,256,0,1
HP,43990,4.2,AMD,Ryzen 3,0,8,Windows 11 ,14.0,0,512,0,1
MSI,279990,4.2,Intel,Intel Core i7,13,16,Windows 11 ,17.3,0,2,0,2
Acer,154990,3.8,Intel,Intel Core i7,10,16,Windows 10 ,15.6,0,2,0,1
Acer,23490,4.1,AMD,Ryzen Multi Core,0,4,Windows 11 ,14.0,0,256,0,1
ASUS,391990,4.2,AMD,Ryzen 9,0,32,Windows 11 ,16.0,0,0,0,1
DELL,334990,4.2,Intel,Intel Core i9,12,32,Windows 11 ,17.3,0,1024,1024,1
DELL,95990,4.2,Intel,Intel Core i5,0,16,Windows 11 ,15.6,0,512,0,1
MSI,244990,4.2,Intel,Intel Core i7,12,16,Windows 11 ,15.6,0,1024,0,2
Acer,79990,4.8,Intel,Intel Core i5,11,8,Windows 11 ,14.0,1,512,0,1
HP,153625,4.2,Intel,Intel Core i5,13,16,Windows 11 ,16.1,0,512,0,1
DELL,45990,4.2,Intel,Intel Core i3,11,8,Windows 11 ,15.6,0,512,0,1
HP,58999,4.1,Intel,Intel Core i5,11,8,Windows 11 ,15.6,0,512,0,1
Lenovo,62990,4.3,Intel,Intel Core i5,11,8,Windows 11 ,15.6,0,512,0,1
realme,45999,3.9,Intel,Intel Core i5,11,8,Windows 11 ,14.0,0,512,0,1
MSI,47990,4.1,Intel,Intel Core i5,10,8,Windows 10 ,15.6,0,0,1024,2
ASUS,35500,4.3,Intel,Intel Core i3,10,8,Windows 11 ,15.6,0,512,0,1
ASUS,62990,4.0,AMD,Ryzen 7,0,16,Windows 11 ,16.0,0,512,0,1
DELL,77990,4.2,Intel,Intel Core i5,11,8,Windows 11 ,14.0,1,512,0,1
DELL,67990,4.2,Intel,Intel Core i5,13,8,Windows 11 ,14.0,0,512,0,1
DELL,146990,4.2,AMD,Ryzen 7,0,16,Windows 11 ,15.6,0,1024,0,1
DELL,104100,4.2,Intel,Intel Core i5,10,8,Windows 10 ,13.3,0,512,0,1
HP,239759,4.2,Intel,Intel Core i7,10,16,Windows 10 ,13.3,1,512,0,1
ASUS,74990,4.2,AMD,Ryzen 7,0,16,Windows 11 ,15.6,0,512,0,1
ASUS,53990,4.2,Intel,Intel Core i5,12,16,Windows 11 ,15.6,0,512,0,1
MSI,109990,4.2,AMD,Ryzen 7,7,16,Windows 11 ,15.6,0,1024,0,1
DELL,60990,4.2,AMD,Ryzen 5,0,16,Windows 11 ,16.0,0,512,0,1
Acer,50050,4.3,Intel,Intel Core i5,11,8,Windows 11 ,15.6,0,512,0,1
GIGABYTE,69990,4.0,Intel,Intel Core i5,12,16,Windows 11 ,15.6,0,512,0,2
MSI,111990,4.2,Intel,Intel Core i7,12,8,Windows 11 ,17.3,0,1024,0,1
ASUS,176990,4.0,AMD,Ryzen 9,0,32,Windows 11 ,14.0,0,1024,0,1
HP,295500,4.2,Intel,Intel Core i9,12,32,Windows 11 ,17.3,0,2,0,1
HP,67490,4.2,AMD,Ryzen 5,0,16,Windows 11 ,15.6,0,512,0,1
DELL,62990,4.1,Intel,Intel Core i5,11,8,Windows 11 ,15.6,0,256,1024,1
DELL,88480,4.2,Intel,Intel Core i5,0,8,Windows 11 ,15.6,0,512,0,1
ASUS,79990,3.8,Intel,Intel Core i9,11,16,Windows 11 ,15.6,0,512,0,1
ASUS,429990,4.2,AMD,Ryzen 9,0,32,Windows 11 ,16.0,0,2,0,1
HP,59990,4.2,Intel,Intel Core i5,12,8,Windows 11 ,15.6,0,512,0,1
DELL,105990,4.2,AMD,Ryzen 7,0,16,Windows 11 ,15.6,0,512,0,1
ASUS,82774,4.2,AMD,Ryzen 7,0,16,Windows 11 ,15.6,0,1024,0,1
Infinix,33990,4.2,Intel,Intel Core i3,11,8,Windows 11 ,15.4,0,512,0,1
ASUS,94990,4.5,Intel,Intel Core i7,11,16,Windows 10 ,15.6,0,1024,0,1
HP,35490,4.3,Intel,Intel Core i3,11,8,Windows 11 ,14.0,0,512,0,1
Lenovo,142999,4.2,Intel,Intel Core i7,12,16,Windows 11 ,14.5,1,1024,0,3
MSI,72990,4.3,Intel,Intel Core i7,11,8,Windows 10 ,15.6,0,512,0,2
Acer,92990,4.2,Intel,Intel Core i5,8,8,Windows 10 ,15.6,0,512,0,1
DELL,99000,4.5,Intel,Intel Core i7,11,16,Windows 11 ,15.6,0,512,0,1
MSI,94990,4.6,Intel,Intel Core i7,11,16,Windows 10 ,15.6,0,512,0,2
Acer,54990,4.2,AMD,Ryzen 5,0,8,Windows 11 ,14.0,0,512,0,1
HP,113990,1.0,Intel,Intel Core i7,11,16,Windows 11 ,16.1,0,1024,0,1
DELL,104990,3.6,AMD,Ryzen 7,0,16,Windows 11 ,15.6,0,512,0,1
HP,129777,4.2,Intel,Intel Core i7,12,16,Windows 11 ,16.1,0,1024,0,1
Lenovo,49800,4.2,Intel,Intel Core i5,12,8,Windows 11 ,15.6,0,512,0,1
ASUS,379990,4.2,AMD,Ryzen 9,0,32,Windows 11 ,16.0,0,2,0,1
Acer,58900,4.6,Intel,Intel Core i5,11,8,Windows 11 ,14.0,0,512,0,1
DELL,86990,4.4,AMD,Ryzen 7,0,16,Windows 10 ,15.6,0,512,0,1
HP,166499,4.2,Intel,Intel Core i7,11,16,Windows 10 ,16.1,0,1024,0,1
Lenovo,92290,4.2,AMD,Ryzen 5,0,16,Windows 11 ,14.0,1,512,0,1
Lenovo,36990,4.1,AMD,Ryzen 3,0,8,Windows 11 ,15.6,0,512,0,2
ASUS,279000,5.0,Intel,Intel Core i9,12,32,Windows 11 ,15.6,0,1024,0,1
MSI,84990,4.2,Intel,Intel Core i5,12,8,Windows 11 ,13.3,0,512,0,2
DELL,88490,3.0,Intel,Intel Core i5,12,16,Windows 11 ,16.0,1,512,0,1
Acer,37990,3.7,Intel,Intel Multi Core,0,4,Windows 11 ,14.0,0,256,0,1
ASUS,61990,4.2,Intel,Intel Core i5,11,8,Windows 11 ,15.6,0,256,1024,1
ASUS,69990,4.2,Intel,Intel Core i5,12,16,Windows 11 ,15.6,0,512,0,1
Acer,55490,3.6,Intel,Intel Core i5,8,8,Windows 10 ,13.3,0,256,0,1
ASUS,66320,4.8,AMD,Ryzen 5,0,16,Windows 11 ,15.6,0,512,0,1
DELL,112390,4.2,Intel,Intel Core i7,12,16,Windows 11 ,15.0,0,512,0,1
MSI,144990,4.2,Intel,Intel Core i7,13,16,Windows 11 ,16.0,0,1024,0,2
ASUS,53990,3.2,AMD,Ryzen 5,0,16,Windows 10 ,17.3,0,512,0,1
Acer,99990,4.2,Intel,Intel Core i7,12,16,Windows 11 ,15.6,0,512,1024,1
DELL,85990,4.3,AMD,Ryzen 7,0,16,Windows 11 ,15.6,0,512,0,1
MSI,145990,4.2,Intel,Intel Core i7,12,16,Windows 11 ,17.3,0,1024,0,2
DELL,136990,4.2,AMD,Ryzen 9,0,16,Windows 11 ,15.0,0,1024,0,1
HP,39600,4.1,Intel,Intel Core i3,11,8,Windows 10 ,15.6,0,0,1024,1
Lenovo,142990,4.2,AMD,Ryzen 7,0,16,Windows 11 ,16.0,0,1024,0,3
ASUS,117990,4.2,Intel,Intel Core i5,13,16,Windows 11 ,15.6,0,512,0,1
DELL,49990,4.1,Intel,Intel Core i5,11,8,Windows 11 ,15.6,0,512,0,1
HP,55890,4.3,AMD,Ryzen 5,0,8,Windows 11 ,15.6,0,512,0,1
GIGABYTE,136100,4.2,Intel,Intel Core i5,12,8,Windows 11 ,15.6,0,512,0,2
ASUS,269990,4.2,Intel,Intel Core i9,12,32,Windows 11 ,17.3,0,2,0,1
Lenovo,76990,4.4,AMD,Ryzen 7,0,8,Windows 10 ,15.6,0,512,0,1
ASUS,73990,4.2,AMD,Ryzen 5,0,16,Windows 11 ,15.6,0,512,0,1
HP,94455,4.2,Intel,Intel Core i7,12,16,Windows 11 ,15.6,0,512,0,1
Lenovo,47499,3.9,AMD,Ryzen 5,0,8,Windows 11 ,15.6,0,512,0,1
MSI,125990,4.6,Intel,Intel Core i7,13,16,Windows 11 ,17.3,0,1024,0,2
DELL,92990,4.3,Intel,Intel Core i7,11,16,Windows 10 ,15.6,0,512,0,1
DELL,58999,3.9,Intel,Intel Core i3,12,8,Windows 11 ,14.0,1,512,0,1
DELL,56990,4.2,AMD,Ryzen 5,0,16,Windows 11 ,14.0,0,512,0,1
Lenovo,163791,4.2,AMD,Ryzen 7,0,32,Windows 11 ,16.0,0,1024,0,3
ASUS,127990,4.2,AMD,Ryzen 7,0,16,Windows 11 ,13.4,1,1024,0,1
ASUS,159990,5.0,Intel,Intel Core i9,12,32,Windows 11 ,14.5,1,1024,0,1
DELL,109490,4.2,AMD,Ryzen 7,0,16,Windows 11 ,15.6,0,512,0,1
ASUS,151990,4.2,AMD,Ryzen 9,0,16,Windows 11 ,15.6,0,1024,0,1
ASUS,114990,4.2,Intel,Intel Core i7,12,16,Windows 11 ,17.3,0,1024,0,1
HP,63556,4.2,Intel,Intel Core i5,12,16,Windows 11 ,15.6,0,512,0,1
Acer,52490,4.2,Intel,Intel Core i5,11,4,Windows 10 ,15.6,0,512,0,1
Lenovo,37000,4.2,Intel,Intel Core i3,11,8,Windows 11 ,15.6,0,256,0,1
ASUS,52990,4.2,AMD,Ryzen 5,0,8,Windows 10 ,14.1,0,1024,0,1
ASUS,227990,4.2,AMD,Ryzen 7,0,16,Windows 11 ,13.4,1,1024,0,1
DELL,103490,4.1,Intel,Intel Core i7,11,16,Windows 11 ,15.6,0,512,0,1
MSI,125990,4.2,Intel,Intel Core i7,12,16,Windows 11 ,17.3,0,1024,0,2
Acer,138999,4.2,AMD,Ryzen 7,0,16,Windows 11 ,16.0,0,1024,0,1
Lenovo,45964,4.2,Intel,Intel Core i3,12,8,Windows 11 ,15.6,0,512,0,2
ASUS,129990,4.7,AMD,Ryzen 7,0,16,Windows 11 ,16.0,1,1024,0,1
Lenovo,161990,4.2,AMD,Ryzen 7,0,32,Windows 11 ,16.0,0,1024,0,3
HP,78990,4.1,Intel,Intel Core i5,12,8,Windows 11 ,13.3,1,512,0,1
ASUS,99850,4.2,Intel,Intel Core i7,12,16,Windows 11 ,15.6,0,1024,0,1
DELL,53490,4.0,Intel,Intel Core i5,11,8,Windows 11 ,15.6,0,512,0,1
Lenovo,156990,4.5,Intel,Intel Core i7,12,16,Windows 11 ,16.0,0,512,0,1
HP,58249,4.2,Intel,Intel Core i5,11,8,Windows 10 ,14.0,0,512,0,1
ASUS,106990,4.2,AMD,Ryzen 7,0,16,Windows 11 ,14.0,0,1024,0,1
HP,95990,3.8,AMD,Ryzen 7,0,16,Windows 11 ,16.1,0,512,0,1
HP,62700,4.2,Intel,Intel Core i5,12,8,Windows 11 ,14.0,0,512,0,1
HP,60500,3.9,Intel,Intel Core i5,12,8,Windows 11 ,15.6,0,512,0,1
DELL,58490,4.2,Intel,Intel Core i5,12,8,Windows 11 ,15.6,0,512,0,1
Acer,64990,4.0,Intel,Intel Core i5,8,8,Windows 10 ,14.0,0,512,0,1
Lenovo,38499,4.3,Intel,Intel Core i3,10,8,Windows 10 ,15.6,0,512,0,2
DELL,36000,4.3,Intel,Intel Core i3,10,4,Windows 10 ,14.0,0,256,0,1
Acer,32990,4.2,AMD,Ryzen 5,0,8,Windows 11 ,14.0,0,256,0,1
Acer,129990,4.2,Intel,Intel Core i7,12,16,Windows 11 ,14.0,1,1024,0,1
Lenovo,66490,3.8,AMD,Ryzen 5,0,8,Windows 10 ,15.6,0,512,0,1
HP,28990,4.2,AMD,Ryzen 3,0,8,Windows 11 ,14.0,0,512,0,1
HP,53750,4.5,Intel,Intel Core i3,12,8,Windows 11 ,15.6,0,512,0,1
Lenovo,37390,4.2,AMD,Ryzen 3,3,8,Windows 11 ,15.6,0,512,0,1
HP,69990,4.4,AMD,Ryzen 5,0,8,Windows 11 ,15.6,0,512,0,1
